TrialID,"Last Refreshed on","Public title","Scientific title",Acronym,"Primary sponsor","Date registration","Date registration3","Export date","Source Register","web address","Recruitment Status","other records","Inclusion agemin","Inclusion agemax","Inclusion gender","Date enrollement","Target size","Study type","Study design",Phase,Countries,"Contact Firstname","Contact Lastname","Contact Address","Contact Email","Contact Tel","Contact Affiliation","Inclusion Criteria","Exclusion Criteria",Condition,Intervention,"Primary outcome","Secondary outcome","results date posted","results date completed","results url link","Retrospective flag","Bridging flag truefalse","Bridged type","results yes no"
NCT05678725,"23 January 2023","Transcranial Direct/ Alternating Current Stimulation for Parkinson's Disease Treatment","Comparison of Transcranial Direct Current Stimulation and Transcranial Alternating Current Stimulation Treatments in Improving the Motor and Cognitive Performance in Parkinson's Disease",,"Anhui Medical University",14/12/2022,"  20221214","03/03/2024 20:31:17",ClinicalTrials.gov,https://clinicaltrials.gov/show/NCT05678725,"Not recruiting",No,"40 Years","80 Years",All,15/10/2022,80,Interventional,"Allocation: Randomized. Intervention model: Parallel Assignment. Primary purpose: Treatment. Masking: Triple (Participant, Investigator, Outcomes Assessor). ",N/A,China," ","Junjie Bu, Professor",,,,"Anhui Medical University","
<br>      ",,"Parkinson Disease;tACS;tDCS","Device: tACS;Device: tDCS;Device: sham","the changes in UPDRS III;the changes in MoCA","simple reaction task;the changes in EEG power",,,,No,False,"          ",
NCT05621200,"9 January 2023","Transcranial Alternating Current Stimulation (tACS) in Patients With Ataxia","Interventional Cross-over Study to Evaluate the Efficacy on Motor and Cognitive Performance of Transcranial Alternating Current Stimulation (tACS) in Patients With Neurodegenerative Ataxia",SCAtACS,"Azienda Socio Sanitaria Territoriale degli Spedali Civili di Brescia",20/10/2022,"  20221020","03/03/2024 20:31:17",ClinicalTrials.gov,https://clinicaltrials.gov/show/NCT05621200,"Not recruiting",No,"18 Years",N/A,All,28/01/2021,26,Interventional,"Allocation: Randomized. Intervention model: Crossover Assignment. Primary purpose: Treatment. Masking: Triple (Participant, Care Provider, Investigator). ",N/A,Italy," ; ","Barbara Borroni, MD;Alberto Benussi, MD",,;,;,"ASST Spedali Civili di Brescia;Università degli Studi di Brescia","
<br>        Inclusion Criteria:
<br>
<br>          -  Patients with a cerebellar syndrome and quantifiable cerebellar atrophy
<br>
<br>        Exclusion Criteria:
<br>
<br>          -  Severe head trauma in the past
<br>
<br>          -  History of seizures
<br>
<br>          -  History of ischemic stroke or hemorrhage
<br>
<br>          -  Pacemaker
<br>
<br>          -  Metal implants in the head/neck region
<br>
<br>          -  Severe comorbidity
<br>
<br>          -  Intake of illegal drugs
<br>
<br>          -  Pregnancy
<br>      ",,"Ataxia;Spinocerebellar Ataxias;Multiple System Atrophy;Ataxia With Oculomotor Apraxia;CANVAS","Device: Transcranial stimulation over the cerebellar hemispheres","Change in the International Cooperative Ataxia Rating Scale (ICARS) Score From Baseline;Change in the Scale for the Assessment and Rating of Ataxia (SARA) Score From Baseline","Change in Cerebellar Brain Inhibition (CBI) Measurements From Baseline;Change in Timed Up and Go Test Duration From Baseline;Change in Walking Cadence From Baseline;Change in 360° Turn From Baseline",,,,No,False,"          ",
NCT05557786,"17 October 2022","Treatment of Transcranial Alternating Current Stimulation(tACS)on Cerebellar Ataxia","The Treatment of Transcranial Alternating Current Stimulation(tACS)on Patients With Cerebellar Ataxia: A Randomized, Triple-blind, Parallel-controlled Study",,"First Affiliated Hospital of Fujian Medical University",24/09/2022,"  20220924","03/03/2024 20:31:17",ClinicalTrials.gov,https://clinicaltrials.gov/show/NCT05557786,Recruiting,No,"18 Years","80 Years",All,01/08/2022,164,Observational,,,China," ; ","Shi-Rui Gan, MD, PhD;Shi-Rui Gan, MD.Phd",,ganshirui@fjmu.edu.cn;ganshirui@fjmu.edu.cn,0591-87982772;+8613850172725,,"
<br>        Inclusion Criteria:
<br>
<br>          -  for SCA3
<br>
<br>               -  Patients with detectable clinical signs and confirmed genetic diagnosis with SCA3
<br>
<br>               -  SCA3 patients aged 18 - 80 years
<br>
<br>               -  Patients or their family members have informed consent to the study and signed
<br>                  relevant documents
<br>
<br>               -  The pre-study ataxia Assessment Score (SARA) ranged from 3 to 30
<br>
<br>          -  for MSA-C
<br>
<br>               -  Aged 30-80 years
<br>
<br>               -  Diagnosed as clinically determined (Established)MSA-C or clinically Probable
<br>                  MSA-C according to the latest MSA diagnostic criteria
<br>
<br>               -  No more than 4 years after diagnosis of MSA-C
<br>
<br>               -  Able to walk independently or with assistance
<br>
<br>               -  Have a life expectancy of at least 3 years
<br>
<br>               -  Women of childbearing age with MSA need to use contraceptive measures
<br>
<br>        Exclusion Criteria:
<br>
<br>          1. Patients who have concomitant epilepsy.
<br>
<br>          2. Patients with a serious cognitive disorder, behavioral disorder, or mental illness
<br>
<br>          3. Patients with a history of seizures, stroke, encephalitis, or other degenerative
<br>             neurological diseases
<br>
<br>          4. Patients with a serious medical disease
<br>
<br>               -  Patients who concomitantly suffer from severe renal impairment, convulsions,
<br>                  stomach ulcers, or moderate or more severe liver disease
<br>
<br>               -  Patients with uncontrolled high blood pressure or diabetes
<br>
<br>          5. History of head injury or neurosurgical interventions.
<br>
<br>          6. History of any metal in the head (outside the mouth).
<br>
<br>          7. Known history of any metallic particles in the eye, implanted cardiac pacemaker,
<br>             implanted neurostimulators, surgical clips (above the shoulder line), or any medical
<br>             pumps.
<br>
<br>          8. Patients who have taken other investigational products within 4 weeks before being
<br>             enrolled in this clinical trial, or patients who are pregnant or breastfeeding.
<br>      ",,"Spinocerebellar Ataxia Type 3;Multiple System Atrophy-cerebellar Type","Device: Transcranial Alternating Current Stimulation","Changes in Ataxia symptoms (Scale for the Assessment and Rating of Ataxia (SARA));Changes of Clinical Evaluation from UMSARS (Unified Multiple System Atrophy Rating Scale) (only for MSA-C)","Changes in the International Cooperative Ataxia Rating Scale (ICARS) Score From Baseline;Changes in the Scale for the Assessment and Rating of Ataxia (SARA) Score From Baseline;Changes in the 9 Hole Peg Test (9HPT) Score From Baseline;Hand Grip Strength;Pittsburgh Sleep Quality Index (PSQI);Epworth score;Montreal Cognitive Assessment (MoCA);Mini-Mental State Examination (MMSE);Hamilton Anxiety Scale (HAMA);Hamilton Depression Scale (HAMD);Changes From Baseline in 5 Level EQ-5D (EQ-5D-5L);Multiple System Atrophy Quality of Life (MSA-QoL) Score;Spatiotemporal dynamic changes measured with electroencephalography (EEG);Changes from temporospatial parameters of gait;Changes in Neuroimage changes in Magnetic Resonance Imaging (MRI)",,,,No,False,"          ",
NCT05220449,"7 February 2022","Re-Orchestration of Interregional Oscillatory Activity to Promote Visual Recovery","Individualized Brain Stimulation to Improve Functional Rehabilitation in Two Models of Sensorimotor Disorders: Stroke and Parkinson's Disease",R4V,"Ecole Polytechnique Fédérale de Lausanne",30/11/2021,"  20211130","03/03/2024 20:31:17",ClinicalTrials.gov,https://clinicaltrials.gov/show/NCT05220449,Recruiting,No,"18 Years",N/A,All,01/09/2017,30,Interventional,"Allocation: Randomized. Intervention model: Crossover Assignment. Primary purpose: Treatment. Masking: Single (Investigator). ",N/A,Switzerland," ; ","Estelle Raffin, PhD;Pauline Stehli, Msc",,estelle.raffin@epfl.ch;,0216955185;,,"
<br>        Inclusion Criteria:
<br>
<br>          1. the patient can consent for themselves;
<br>
<br>          2. age 18+ years old;
<br>
<br>          3. at least 7 days since diagnosis ""stroke"".
<br>
<br>          4. Patients should demonstrate a clear deficit in either simple or complex visual
<br>             perception in portions of their visual field
<br>
<br>        Exclusion Criteria:
<br>
<br>          1. Diminished capacity to consent;
<br>
<br>          2. Pregnancy
<br>
<br>          3. Known or suspected non-compliance, drug or alcohol abuse
<br>
<br>          4. Inability to follow the procedures of the study, e.g., due to language problems,
<br>             psychological disorders, dementia, etc. of the participant,
<br>
<br>          5. Non-compliance to the instructions of the experimenter or an inappropriate behavior
<br>             hindering the normal progress of the experiment.
<br>
<br>          6. Previous enrolment into the current study
<br>
<br>          7. Exclusion criteria of MRI, tACS, TMS
<br>
<br>          8. Use of psychoactive medication
<br>      ",,"Visual Impairment;Stroke;Parkinson Disease","Other: Cross-frequency dual-site tACS","Changes in visual field functions","Changes in motion discrimination and integration performances;Changes in inter-areal cross-frequency interaction;Changes in visual tracts integrity;Changes in functional connectivity within the broad visual network",,,,No,False,"          ",
DRKS00024035,"22 January 2024","The effects of gamma tACS on cortical excitability and movement in Parkinson patients compared to healthy controls","The effects of gamma tACS on cortical excitability and movement in Parkinson patients compared to healthy controls - park GammatACS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ",,"Carl von Ossietzky Universität Oldenburg Fakultät VI - Medizin und Gesundheitswissenschaften Department für Humanmedizin",06/04/2021,"  20210406","03/03/2024 20:31:17","German Clinical Trials Register",http://drks.de/search/en/trial/DRKS00024035,Recruiting,No,"50 Years","75 Years",All,22/04/2021,24,interventional,"Allocation: Randomized controlled study; Masking: Blinded (masking used); Control: placebo; Assignment: factorial; Study design purpose: treatment ",N/A,Germany,Martina,Bantel,"Heiligengeisthöfe 4",neurologie@uol.de," +49 (0)441 798-4657","Sekretariat der Universitätsklinik für NeurologieCarl von Ossietzky Universität Oldenburg","Inclusion criteria: Parkinson Patients:
<br>a) diagnosed PD in a mild to moderate stage, equivalent UPDRS (part III) < 35
<br>b) Right-handedness 
<br>c) Age 50 -75 years
<br>d) Fluency in German or English.
<br>
<br>Healthy Subjects are recruited based on : b), c) and d)","Exclusion criteria: For healthy subjects and PD patients:
<br>a) Implanted neurostimulators, cochlear implants or general implanted metal in the cranium
<br>b) Psychiatric disorders (i.e. schizophrenia, severe dementia)
<br>c) Epilepsy
<br>d) Use of contraindicated medication (i.e. neuroleptics, opioids)
<br>e) Coffee or alcohol consumption prior to the experiment"," <br>G20 <br>G20.1;Parkinson disease;G20.1","Group 1: This study evaluates the effect of gamma tACS on movement and cortical excitability in Parkinson patients and healthy participants. Both groups undergo 2 sessions: in one session they will receive 20 min. of gamma tACS, whereas in the other session they will receive sham stimulation. Which session the participant will first be enrolled in is randomized.<br><br>Arm 1= Parkinson patients (gamma tACS and Sham)<br>Group 2: Arm 2 = healthy participants (gamma tACS and sham)","The endpoint is the improvement of motor function after gamma tACS. Improve motor function will be assessed by the UPDRS, and changes in results in the Nine-hole- peg test and alternating finger tapping task.","The secondary endpoint is the change in reaction time after the execution of a motor task in the course of the experiment.",,,http://drks.de/search/en/trial/DRKS00024035#studyResults,Yes,False,"          ",
NCT04509349,"12 December 2020","Alternating Current Stimulation for Essential Tremor","Alternating Current Stimulation for Essential Tremor: a Pilot Study to Identify the Most Promising Strategy",,"University of Calgary",20/07/2020,"  20200720","03/03/2024 20:31:17",ClinicalTrials.gov,https://clinicaltrials.gov/show/NCT04509349,"Not recruiting",No,"18 Years",N/A,All,01/10/2020,30,Interventional,"Allocation: Randomized. Intervention model: Parallel Assignment. Primary purpose: Treatment. Masking: Single (Outcomes Assessor). ",N/A,," ; ","Davide Martino, MD, PhD;Elaheh NosratMirshekarlou, MSc",,;elaheh.nosratmirshek@ucalgary.ca,;0014032106876,"Department of Clinical Neurosciences, University of Calgary;","
<br>        Inclusion Criteria:
<br>
<br>          -  Participants who meet Diagnostic and Statistical Manual of Mental Disorders criteria
<br>             for ET (APA, DSM V).
<br>
<br>          -  18 years of age or older.
<br>
<br>          -  Participants should be either un-medicated or on stable medication treatment for
<br>             tremor for the previous 3 months.
<br>
<br>          -  Psychiatric comorbidities should be clinically stable; treatment has not changed in
<br>             the last 3 months.
<br>
<br>        Exclusion Criteria:
<br>
<br>          -  Have a metal object/implant in their brain, skull, scalp, or neck.
<br>
<br>          -  Have an implantable device (e.g., cardiac pacemaker).
<br>
<br>          -  Have a diagnosis of epilepsy or cardiac disease.
<br>
<br>          -  Have a history of traumatic brain injury, learning disability or dyslexia.
<br>
<br>          -  Have a severe impediment in vision or hearing.
<br>      ",,"Essential Tremor","Device: transcranial Altering Current Stimulation;Device: Sham tACS","Essential Tremor Severity Change",,,,,Yes,False,"          ",
IRCT20190306042945N2,"21 May 2019","Effect of Non-invasive Electric Stimulation on Hand Tremor in Parkinson's Patients","Investigating the Effect of Transcranial Electric Stimulation on Hand Tremor in Parkinson's Patients                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ",,"Iran University of Medical Sciences",24/04/2019,"  20190424","03/03/2024 20:31:17",IRCT,http://en.irct.ir/trial/38789,Recruiting,No,"no limit","no limit",Both,21/04/2019,38,interventional,"Randomization: Randomized, Blinding: Single blinded, Placebo: Used, Assignment: Parallel, Purpose: Supportive, Randomization description: Simple randomization has been used, Blinding description: The participant is blinded by which group (sham, intervention) participates. In sham, only the first 30 seconds the electric current is applied to give emotions and signs of current, and after 30 seconds the current flow stops.",N/A,"Iran (Islamic Republic of)","Bijan Forogh",,"Firoozgar Hospital, Behafarin Avenue, 1617763141, Tehran, Iran",forogh.b@iums.ac.ir,"+98 21 8214 1612","Iran University of Medical Sciences","Inclusion criteria: Parkinson’s patients should be a predominant tremor.<br>Could not be withdrawn from antiparkinsonian drugs for 8 hours.","Exclusion criteria: There is implant, rubbing or any metal object in the patient's body.<br>History of seizure and epilepsy.<br>They have other neuropsychiatric diseases.<br>They were being treated with deep brain stimulation","Parkinson's disease. <br>Parkinson's disease","Intervention 1: Intervention group: To this group a cerebellum transcranial alternating electric stimulation with a current intensity of 2 mA and the peak frequency of each person in 15 minutes applied in a session. Intervention 2: Control group: For sham stimulation, sponge electrodes were applied in the same manner. The  session times is 15 minutes, with only ramp running in about 30 seconds.","Amplitude of acceleration of the hand. Timepoint: Measure the acceleration of the hand before and after the intervention. Method of measurement: Accelerometer has LIS3DH sensor.",,,,,No,False,"          ",
NCT04065022,"12 December 2020","The Trans-cutaneous Effects on Physiological Tremor Entertainment During tACS","The Trans-cutaneous Effects on Physiological Tremor Entertainment During tACS",,"KU Leuven",05/02/2019,"  20190205","03/03/2024 20:31:17",ClinicalTrials.gov,https://clinicaltrials.gov/show/NCT04065022,"Not recruiting",No,"18 Years",N/A,All,20/06/2017,22,Interventional,"Allocation: Randomized. Intervention model: Parallel Assignment. Primary purpose: Basic Science. Masking: Single (Outcomes Assessor). ",N/A,Belgium,,,,,,,"
<br>        Inclusion Criteria:
<br>
<br>          -  Above 18
<br>
<br>          -  Signed informed consents
<br>
<br>        Exclusion Criteria:
<br>
<br>          -  Pregnancy
<br>
<br>          -  History of Epilepsy
<br>
<br>          -  Family history of Epilepsy
<br>      ",,"Tremor, Limb","Device: tACS at tremor frequency","Change in tremor-stimulation phase entrainment- Session 1;Change in tremor-stimulation phase entrainment- Session 2;Change in tremor-stimulation phase entrainment- Session 3","Sensation rating;Sensation threshold",,,,No,False,"          ",
NL-OMON29165,"28 February 2024","Tremor in Dystonia and Essential tremor.","The cerebral mechanisms underlying dystonic and essential tremor: a multimodal network approach                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ",,"Donders Institute for Brain, Cognition and Behaviour. Centre for Cognitive Neuroimaging.

Kapittelweg 29 6525 EN Nijmegen",30/11/2017,"  20171130","03/03/2024 20:31:17",NL-OMON,https://onderzoekmetmensen.nl/en/trial/29165,Recruiting,No,,,,01/12/2017,32,Interventional,"Non-randomized controlled trial, Single blinded (masking used), Active, Crossover",,,"Freek ",Nieuwhof,,freek.nieuwhof@radboudumc.nl,,,"Inclusion criteria: Essential tremor: <br /><br>-Clinical diagnosis of essential tremor<br /><br>-Postural tremor of both hands<br /><br>-Onset of tremor before the age of 65<br><br>Dystonic tremor:<br>-Clinical diagnosis of dystonic tremor<br>-Primary focal / segmental dystonia<br>-Presence of postural tremor of at least one arm (which may or may not be the dystonic limb)","Exclusion criteria: -Neurological co-morbidity<br /><br>-Moderate to severe head tremor (to avoid artifacts caused by extensive head motion during scanning)<br /><br>-Cognitive dysfunction (clinical diagnosis of mild cognitive impairment or dementia)<br /><br>-Considerable diagnostic doubt between essential and dystonic tremor (no consensus reached in team meetings neurologists or considerable doubt in medical record).<br /><br>-Use of anti-tremor medication other than propranolol<br /><br>-Any contraindications for MRI or transcranial stimulation (e.g. non compatible metal implants, epilepsy, active implants).","English: Dystonic tremor, Dystonia, Essential tremor, tacs

Dutch: Tremor bij Dystonie, Dystonie, Essentiële tremor, tacs, beven","Transcranial alternating current stimulation (tacs) over primary motor cortex and cerebellum at tremor frequency and phase locked to ongoing tremor (as measured with accelerometry). <br />Stimulation during 20 blocks of 30s, at 18 degree phase difference increments around the phase circle (random ordering, phase difference between ongoing tremor and tacs).","1) phase specific tremor power suppression during M1 tacs, in ET vs DT<br /><br>2) phase specific tremor power suppression during  Cerebellar tacs, in ET vs DT<br /><br>3) Phase specific tremor related cerebral activity during cerebellar tacs, in ET vs DT ","-Tremor related cerebral activity and connectivity, compared between dystonic and essential tremor.<br /><br>-GABA concentrations in GPi, cerebellum and primary motor cortex, compared between dystonic and essential tremor.<br /><br><br>",,,,Yes,False,"          ",
NCT03337334,"16 December 2017","Effects of High Amplitude and Focused tACS on Entraining Physiological Tremor","Effects of High Amplitude and Focused tACS on Entraining Physiological Tremor",,"Katholieke Universiteit Leuven",01/11/2017,"  20171101","03/03/2024 20:31:17",ClinicalTrials.gov,https://clinicaltrials.gov/show/NCT03337334,"Not recruiting",No,"18 Years",N/A,All,01/06/2016,23,Interventional,"Allocation: Randomized. Intervention model: Parallel Assignment. Primary purpose: Basic Science. Masking: Single (Outcomes Assessor). ",N/A,,,,,,,,"
<br>        Inclusion Criteria:
<br>
<br>          -  Above 18
<br>
<br>          -  signed informed written consent
<br>
<br>        Exclusion Criteria:
<br>
<br>          -  Pregnancy
<br>
<br>          -  History of Epilepsy
<br>
<br>          -  Family history of Epilepsy
<br>      ;
<br>        Inclusion Criteria:
<br>
<br>          -  Above 18
<br>
<br>          -  signed informed written consent
<br>
<br>        Exclusion Criteria:
<br>
<br>          -  Pregnancy
<br>
<br>          -  History of Epilepsy
<br>
<br>          -  Family history of Epilepsy
<br>      ;
<br>        Inclusion Criteria:
<br>
<br>          -  Above 18
<br>
<br>          -  signed informed written consent
<br>
<br>        Exclusion Criteria:
<br>
<br>          -  Pregnancy
<br>
<br>          -  History of Epilepsy
<br>
<br>          -  Family history of Epilepsy
<br>      ;
<br>        Inclusion Criteria:
<br>
<br>          -  Above 18
<br>
<br>          -  signed informed written consent
<br>
<br>        Exclusion Criteria:
<br>
<br>          -  Pregnancy
<br>
<br>          -  History of Epilepsy
<br>
<br>          -  Family history of Epilepsy
<br>      ",,"Tremor, Limb;Tremor, Limb;Tremor, Limb;Tremor, Limb","Device: tACS at tremor frequency;Device: tACS at tremor frequency;Device: tACS at tremor frequency;Device: tACS at tremor frequency","Tremor-stimulation phase entrainment;Tremor-stimulation phase entrainment;Tremor-stimulation phase entrainment","Phosphene rating;Phosphene threshold",,,,No,False,"          ",
JPRN-UMIN000027324,"17 October 2023","Nagoya City University","Nagoya City University - Non-invasive closed-circuit brain stimulation for gait rehabilitation:   Clinical application of oscillology in Parkinson patients                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ",,"Nagoya city university, Department of rehabilitation medicine",15/05/2017,"  20170515","03/03/2024 20:31:17",JPRN,https://center6.umin.ac.jp/cgi-open-bin/ctr_e/ctr_view.cgi?recptno=R000031307,Recruiting,No,40years-old,80years-old,"Male and Female",10/05/2017,40,Interventional,"Parallel Randomized","Not selected",Japan,,"Yoshino Ueki","1, Kawasumi, Mizuho-cho, Mizuho-ku",yueki@med.nagoya-cu.ac.jp,052-853-8733,"Nagoya city university rehabilitation medicine","Inclusion criteria: ","Exclusion criteria: 1. with other neuropsychological disorders  2. with intracranial clip  3. with pacemaker  4. with epilepsy  5. operation of spine  6. AMI, angina, hypertention, DM, DVT and chronic pulmonary disorders  7. with neurostimulation device, clip, insulin pomp, stent and so on","Parkinsonian syndrome","gait rehabilitation with tACS <br>gait rehabilitation with sham stimulation","speed during 10m gait","motor function  cortical excitability by TMS  functional connectivity by fMRI  neurophysiological evaluation",,31/03/2020,,No,False,"          ",
NL-OMON45367,"28 February 2024","Guiding personalized treatments for Parkinson*s tremor with individual neuroimaging * an exploratory study","Guiding personalized treatments for Parkinson*s tremor with individual neuroimaging * an exploratory study - Tremor fingerprints in Parkinson's disease                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ",,Neurologie,03/05/2017,"  20170503","03/03/2024 20:31:17",NL-OMON,https://onderzoekmetmensen.nl/en/trial/45367,"Not Recruiting",No,18,64,,25/01/2018,30,Interventional,"Open (masking not used), Uncontrolled, Basic science",2,"The Netherlands",,,"Reinier Postlaan 4",,,Selecteer,"Inclusion criteria: <p>- Idiopathic Parkinson*s disease according to UK brain bank criteria. <br>- Presence of a clear resting tremor of at least one arm (UPDRS tremor-score > 2). <br></p>
<br>","Exclusion criteria: <p>- neuropsychiatric co-morbidity <br>- contraindications for MRI scanning (e.g. pacemaker, implanted metal parts, deep brain stimulation, claustrophobia) <br>- Severe head tremor or dyskinesias. <br>- Cognitive impairment (MMSE < 26)</p>
<br>"," <br>Parkinson's disease <br>tremor;10028037;Parkinson's disease;tremor","<p>The intervention involves TACS, which is a non-invasive, non-painful way of <br>stimulating underlying cortical brain tissue through electrodes applied to the <br>scalp. When applied rhythmically at the frequency of cortical oscillatory <br>activity, it can exert excitatory or inhibitory (depending on the phase) <br>effects on brain function. In this research, we will apply TACS over the motor <br>cortex contralateral to the tremulous hand, in the same frequency, and <br>phase-locked to, the ongoing tremor. There are three conditions: inhibitory <br>TACS (anti-phase), stimulating TACS (in-phase), and sham (no/fake stimulation). <br>TACS will be applied both outside and inside the MRI scanner, to test for the <br>effect on the tremor circuitry.</p><br>;fMRI;Parkinson;tDCS;tremor","<p>(1) Within-subjects reproducibility of tremor-related activity and connectivity<br /><br>(*tremor fingerprint*; quantified using concurrent EMG-fMRI across two<br /><br>different days); (2) Modulation of tremor-related activity and connectivity by<br /><br>TACS (comparison of the three TACS conditions); (3) Modulation of tremor by<br /><br>TACS (quantified using accelerometry), and its correlation with network<br /><br>parameters derived from the tremor circuit (i.e. thalamo-cortical<br /><br>connectivity). </p><br>","<p>Not applicable. See Primary outcome measure.</p>
<br>",,07/09/2019,,Yes,False,"          ",
NL-OMON45276,"28 February 2024","The cerebral mechanisms underlying dystonic and essential tremor: a multimodal network approach","The cerebral mechanisms underlying dystonic and essential tremor: a multimodal network approach - Cerebral mechanisms in dystonic and essential tremor                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ",,"Radboud Universitair Medisch Centrum",06/04/2017,"  20170406","03/03/2024 20:31:17",NL-OMON,https://onderzoekmetmensen.nl/en/trial/45276,"Not Recruiting",No,18,64,,20/10/2017,32,Interventional,"Open (masking not used), Uncontrolled, Basic science",,"The Netherlands",,,"Reinier Postlaan 4",,,"Radboud Universitair Medisch Centrum","Inclusion criteria: <p>For essential tremor patients: <br>-Clinical diagnosis of essential tremor <br>-Postural tremor of both hands <br>-Onset of tremor before the age of 65 (to exclude pathophysiological heterogeneity caused by age-related tremor [15]);For dystonic tremor patients: <br>-Clinical diagnosis of dystonic tremor <br>-Primary focal / segmental dystonia <br>-Presence of postural tremor of at least one arm (which may or may not be the dystonic limb)</p>
<br>","Exclusion criteria: <p>-Neurological co-morbidity <br>-Moderate to severe head tremor (to avoid artifacts caused by extensive head motion during scanning) <br>-Cognitive dysfunction (clinical diagnosis of mild cognitive impairment or dementia) <br>-MRI or TACS contraindications <br></p>
<br>"," <br>dystonia;10028037;dystonia","<p>The intervention involves transcranial alternating current stimulation (TACS), <br>which is a non-invasive, non-painful way of stimulating underlying cortical <br>brain tissue through electrodes applied to the scalp. When applied rhythmically <br>at the frequency of cortical oscillatory activity, it can exert powerful <br>excitatory or inhibitory (depending on the phase) effects on brain function.</p><br>;Dystonia;Essential tremor;Neuroscience;Tremor","<p>We will use concurrent EMG-fMRI to localize and compare tremor-related activity<br /><br>between both groups (outcome #1) - an approach we have previously validated in<br /><br>Parkinson*s tremor. </p><br>","<p>Given the hypothesized role of inhibitory GABA-ergic circuits in both tremor<br />
<br>types, we will use 3T magnetic resonance spectroscopy to compare GABA<br />
<br>concentrations in the internal globus pallidus, cerebellum, and motor cortex<br />
<br>between both groups (outcome #2). Also, we use a non-invasive, adaptive and<br />
<br>controlled brain stimulation approach (transcranial alternating current<br />
<br>stimulation; TACS) to test for the effect of inhibiting the motor cortex and<br />
<br>cerebellum on tremor intensity (accelerometry) and, for the cerebellum, on<br />
<br>tremor-related activity (EMG-fMRI) and (outcome #3). Previous research has<br />
<br>shown powerful modulatory influences of TACS on both Parkinson*s tremor and ET. </p>
